date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2018-06-04,5692.97,5683.15,5707.49,5652.14,46750282,54050300160.0,0.97,-0.03,-1.97,0.42
2018-06-05,5681.22,5779.08,5779.86,5680.49,47410470,56450385408.0,1.75,1.69,95.93,0.42
2018-06-06,5770.71,5774.26,5784.61,5748.7,48182508,56304602880.0,0.62,-0.08,-4.82,0.43
2018-06-07,5786.46,5738.02,5798.33,5734.63,47376192,54089371904.0,1.1,-0.63,-36.24,0.42
2018-06-08,5731.84,5669.3,5731.84,5630.66,52925555,58767162880.0,1.76,-1.2,-68.72,0.47
2018-06-11,5657.65,5632.36,5672.63,5612.87,43109691,48746492416.0,1.05,-0.65,-36.94,0.39
2018-06-12,5638.35,5693.35,5693.61,5594.92,46645358,54189505024.0,1.75,1.08,60.99,0.42
2018-06-13,5678.81,5607.02,5679.67,5605.55,49234214,53944404992.0,1.3,-1.52,-86.33,0.44
2018-06-14,5590.57,5586.93,5645.19,5570.83,44419709,49865463040.0,1.33,-0.36,-20.09,0.4
2018-06-15,5582.84,5483.94,5593.69,5448.07,56448573,59537596160.0,2.61,-1.84,-102.99,0.5
2018-06-19,5396.68,5141.71,5409.41,5070.22,82986353,76922847232.0,6.19,-6.24,-342.23,0.74
2018-06-20,5114.06,5198.39,5222.88,5090.22,60329418,57106400000.0,2.58,1.1,56.68,0.54
2018-06-21,5196.13,5089.25,5244.65,5086.93,63240479,60429343488.0,3.03,-2.1,-109.14,0.57
2018-06-22,5052.44,5160.12,5165.04,5017.51,51689206,49898726400.0,2.9,1.39,70.87,0.46
2018-06-25,5196.65,5125.03,5211.76,5121.21,47860810,46663143936.0,1.75,-0.68,-35.09,0.43
2018-06-26,5059.38,5160.28,5170.17,5044.24,51066588,49773352448.0,2.46,0.69,35.25,0.46
2018-06-27,5159.62,5109.5,5188.2,5089.71,49857841,48613424128.0,1.91,-0.98,-50.78,0.45
